region,t,t1,th_tt_bc,th_t1t1_bc,th_tt1_bc,th_t1t_bc
Lankaran-Astara economic region,2013,2014,0.3609677586088242,0.3387265190194513,0.3885952405630981,0.3047625801050591
Mil-Mughan economic region,2013,2014,0.4830174536482039,0.5118285297602432,0.4899089948072597,0.5045517908135293
Nakhchivan Autonomous Republic,2013,2014,0.3810982493657714,0.4026443077575761,0.3789720706090167,0.4049381644471038
Shaki-Zagatala economic region,2013,2014,0.4316841046027065,0.490719754397399,0.4663944784907694,0.4550953381908633
Shirvan-Salyan economic region,2013,2014,0.4264839395896214,0.4420292621576153,0.4235143902531946,0.4441455101561816
Absheron-Khizi economic region,2014,2015,0.5478462730106832,0.234932290350216,1.5011571480070938,0.5451402643557384
Central Aran economic region,2014,2015,0.5245617946060577,0.5049244392017729,0.5296372257870587,0.5003326475039793
Daghlig Shirvan economic region,2014,2015,0.3708027454889914,0.3801574284156404,0.3915037706477784,0.3356335713371046
Eastern Zangazur economic region,2014,2015,0.4092044170022102,0.3956475416216711,0.3997709039823323,0.3960750713683481
Ganja-Dashkasan economic region,2014,2015,0.5777000933749372,0.5858547730479,0.6123769782736239,0.5526093708354134
Gazakh-Tovuz economic region,2014,2015,0.5697763223110016,0.5596489419778994,0.586677706792119,0.5407051545175454
Guba-Khachmaz economic region,2014,2015,0.4760099698189508,0.479382943478886,0.4887306431171814,0.4708806697314347
Karabakh economic region,2014,2015,0.5549508863451665,0.6112088361590824,0.6390007388887753,0.5298725417741483
Lankaran-Astara economic region,2014,2015,0.3409496686251634,0.2797539954256191,0.3596297203772768,0.2727645260972317
Mil-Mughan economic region,2014,2015,0.517326510427998,0.4962619717378368,0.5205507865500858,0.4934315561064049
Nakhchivan Autonomous Republic,2014,2015,0.4070734782897214,0.3915953595870461,0.4086605858079914,0.3900287876633237
Shaki-Zagatala economic region,2014,2015,0.4999035383004582,0.4778910181275128,0.4996794332877117,0.47831552628251
Shirvan-Salyan economic region,2014,2015,0.4479254474016625,0.4259319964323168,0.4474101958383923,0.425657548137173
Absheron-Khizi economic region,2015,2016,0.2422701597383036,0.3354908154162839,0.5549769015324062,0.5349651906536255
Central Aran economic region,2015,2016,0.5062881518097646,0.4929046766876526,0.5215968993655229,0.4763121102522359
Daghlig Shirvan economic region,2015,2016,0.3790935563150419,0.3541190118586977,0.3536676189935903,0.3568986170755417
Eastern Zangazur economic region,2015,2016,0.3903149411307147,0.3662933967996169,0.3977176036139714,0.3582068384565759
Ganja-Dashkasan economic region,2015,2016,0.5839611162986197,0.5936623844449107,0.6268923706452088,0.5526483071380276
Gazakh-Tovuz economic region,2015,2016,0.5666298037802082,0.5567000593826361,0.5947182677376835,0.5301686918845347
Guba-Khachmaz economic region,2015,2016,0.4779124351856414,0.4636630407219555,0.5012633631201099,0.4377583196690879
Karabakh economic region,2015,2016,0.613907739834594,0.6360384202269646,0.6761004450559434,0.5753311433021513
Lankaran-Astara economic region,2015,2016,0.2931260394147055,0.2702199207502385,0.3027546565535522,0.2160315394329329
Mil-Mughan economic region,2015,2016,0.4976655957036386,0.4761138123357203,0.5031263023389788,0.4682241484270945
Nakhchivan Autonomous Republic,2015,2016,0.3925340672279248,0.3797329976300182,0.4014719800496705,0.3638975596878873
Shaki-Zagatala economic region,2015,2016,0.4780354288788123,0.4630825142640737,0.4871291778774124,0.4526609671248955
Shirvan-Salyan economic region,2015,2016,0.4255413700686439,0.3975074652341136,0.4212121576810718,0.4023755773450209
Absheron-Khizi economic region,2016,2017,0.3336037951213857,0.3197081016217766,0.5994019722115744,0.4794574790112915
Central Aran economic region,2016,2017,0.4812721749837246,0.4790502726232759,0.4621502583026636,0.4973193969731617
Daghlig Shirvan economic region,2016,2017,0.3381124748263209,0.3885463063128755,0.3794254809889228,0.2940292831818958
Eastern Zangazur economic region,2016,2017,0.351416241487297,0.3735984529935807,0.365768263138857,0.3568649341601757
Ganja-Dashkasan economic region,2016,2017,0.5785425936484958,0.6264166172333951,0.6000483153884341,0.5996784368183038
Gazakh-Tovuz economic region,2016,2017,0.5362257597065467,0.5540815767388091,0.5259202795343947,0.562254551839311
Guba-Khachmaz economic region,2016,2017,0.4475259791255757,0.4868068605403384,0.4715336161026371,0.4582949880486817
Karabakh economic region,2016,2017,0.6216256530228571,0.6411161210488536,0.6222077337353551,0.6396404674642695
Lankaran-Astara economic region,2016,2017,0.274519726024686,0.2746422737699401,0.3165024856697696,0.1500640434866745
Mil-Mughan economic region,2016,2017,0.4642771316080756,0.4739139161367012,0.4571401766394172,0.479351708632397
Nakhchivan Autonomous Republic,2016,2017,0.3627102544838352,0.3846033853454208,0.3639130340783389,0.3821672514018394
Shaki-Zagatala economic region,2016,2017,0.4420150669826652,0.4750698093695797,0.4488046888757653,0.4669808115716818
Shirvan-Salyan economic region,2016,2017,0.3877785730848853,0.4012595388029876,0.386773727865386,0.4018239496192895
Absheron-Khizi economic region,2017,2018,0.3585317528354736,0.398266213934469,0.460709149119614,0.5857017469215207
Central Aran economic region,2017,2018,0.4708723009662394,0.5420952360127372,0.5259699973960638,0.4853083491223191
Daghlig Shirvan economic region,2017,2018,0.3877962036502352,0.4024167053371575,0.3382847918275888,0.4121089444315902
Eastern Zangazur economic region,2017,2018,0.3767117851164721,0.364601235279565,0.3492986466288265,0.3920367728162628
Ganja-Dashkasan economic region,2017,2018,0.6154919091329759,0.6386315725630705,0.6208069344679009,0.6328948094061352
Gazakh-Tovuz economic region,2017,2018,0.5457582488541939,0.6081535356039256,0.591625826356574,0.5604979603686178
Guba-Khachmaz economic region,2017,2018,0.4843811886332348,0.5210855605344267,0.5079752127015318,0.4973741135400562
Karabakh economic region,2017,2018,0.629374345204907,0.6531647958793809,0.6330515334431808,0.6490976197610737
Lankaran-Astara economic region,2017,2018,0.287897121309723,0.2880107756185176,0.2000940971603105,0.3349440870486425
Mil-Mughan economic region,2017,2018,0.4661325503712726,0.482408430705861,0.4679793795351239,0.4806546424453828
Nakhchivan Autonomous Republic,2017,2018,0.3788127052190652,0.3888251687896362,0.3795374945182214,0.3886967897352634
Shaki-Zagatala economic region,2017,2018,0.4687346742780303,0.4788596507465645,0.4689350145614975,0.4793877867377218
Shirvan-Salyan economic region,2017,2018,0.3930229963158689,0.4290753774345621,0.4164783329476472,0.4049671850799033
Absheron-Khizi economic region,2018,2019,0.2952604834103369,0.4092334816517904,0.2931980244340013,0.4274231982772072
Central Aran economic region,2018,2019,0.5425738374246551,0.5838016562776505,0.5552329786895815,0.5703646342554809
Daghlig Shirvan economic region,2018,2019,0.3766603287592901,0.4474458491806825,0.3968914680766633,0.4236418033418778
Eastern Zangazur economic region,2018,2019,0.3533399366052311,0.3713405978288361,0.3350242146561067,0.3767882160931006
Ganja-Dashkasan economic region,2018,2019,0.640201601274285,0.7205087662788927,0.6849587750952175,0.6722537406831145
Gazakh-Tovuz economic region,2018,2019,0.6056979943587434,0.6194072742850278,0.5868508469372997,0.6389417556246586
Guba-Khachmaz economic region,2018,2019,0.5138517320014241,0.5706477016576941,0.5371717626212682,0.5456068958239775
Karabakh economic region,2018,2019,0.6535551201538137,0.7427893378435428,0.7060736823249765,0.6873564011638301
Lankaran-Astara economic region,2018,2019,0.2586941690934712,0.3482743152363461,0.2871618302649985,0.3054299552631032
Mil-Mughan economic region,2018,2019,0.4833815129252354,0.5140700522802617,0.4883852772993546,0.5077755280135436
Nakhchivan Autonomous Republic,2018,2019,0.3863589473285368,0.4107225933095285,0.3892065503996577,0.4077950863549082
Shaki-Zagatala economic region,2018,2019,0.476437036123067,0.4987841017139778,0.4727326574291084,0.5031052008451604
Shirvan-Salyan economic region,2018,2019,0.4299644974618293,0.4809300583369099,0.457951354886408,0.4523392250110589
Absheron-Khizi economic region,2019,2020,0.3641268863304743,0.5655677860023092,0.5543755856356667,0.7292658228324127
Central Aran economic region,2019,2020,0.5825049657955839,0.5929477461685446,0.5821518698960533,0.5931416492493633
Daghlig Shirvan economic region,2019,2020,0.4666813569845192,0.497366927525676,0.4697690013679705,0.4772405523299502
Eastern Zangazur economic region,2019,2020,0.3885527793478498,0.3895496419116171,0.3813846666701566,0.3967338230585799
