region,region_type,year,cost_price_per_centner_milk_enterprises_manat,cost_price_per_centner_milk_private_manat,cows_dairy_buffaloes_stock_heads,cows_heads,fodder_sown_area_ha,labour_hours_per_centner_milk_enterprises,milk_production_tons,profitability_milk_enterprises_pct,profitability_milk_private_pct,selling_price_per_centner_milk_enterprises_manat,selling_price_per_centner_milk_private_manat,cost_milk,profitability,vrs_raw,crs_raw,vrs_bc,crs_bc,vrs_bootstrap_degenerate_draws,crs_bootstrap_degenerate_draws,scale_eff_raw
Gazakh district,district,2021,34.0,38.22,16179.0,14873.0,4767.1,48.0,31848.0,81.8,103.8,60.0,64.69,34.0,81.8,0.5689245934403933,0.5590754390748559,0.5355095490525708,0.5296743564866482,0,0,0.9826881198684386
Gobustan district,district,2021,,33.0,13241.0,13121.0,36.0,,22436.0,,135.4,,71.97,33.0,135.4,0.8875714394938212,0.779283987818258,0.27827933740514355,0.274474500743654,0,0,0.8779957906967814
Goranboy district,district,2021,10.31,,20387.0,19932.0,15505.0,16.1,43060.0,1.5,,33.51,,10.31,1.5,0.5669406127305328,0.564040090885146,0.5222478748382111,0.5406127115653269,0,0,0.9948839053328405
Goychay district,district,2021,32.06,,18204.0,16997.0,6067.0,47.4,19941.0,49.8,,63.16,,32.06,49.8,0.32046897351421844,0.3063102191281136,0.30487387639402896,0.29093083107819007,0,0,0.9558186421891584
Goygol district,district,2021,55.66,16.14,9817.0,9726.0,498.5,41.2,24174.0,44.5,45.5,72.57,80.0,55.66,44.5,0.6715105577206237,0.6489348224740864,0.5779748084743667,0.554516529883477,0,0,0.9663806696901857
Guba district,district,2021,43.12,,24858.0,24755.0,643.0,46.8,42668.0,32.2,,56.52,,43.12,32.2,0.4529063848951907,0.4500141634193375,0.2482763613657335,0.2996532407691115,0,0,0.9936140854438992
Gubadli district,district,2021,35.19,,839.0,839.0,24.8,46.9,1114.0,141.5,,85.02,,35.19,141.5,1.0,0.3466650481313133,0.0,0.24953116401503378,5,0,0.3466650481313133
Gusar district,district,2021,15.36,,18727.0,18723.0,4097.0,48.0,30933.0,,,83.46,,15.36,,0.43956398765683796,0.43135360422283836,0.4070073754663071,0.40388284808788943,0,0,0.981321528458766
Hajigabul district,district,2021,,88.42,15129.0,14740.0,3632.8,,27375.0,,28.9,,84.54,88.42,28.9,0.4972282948793198,0.48489027196035617,0.4672133495717795,0.4557487924286593,0,0,0.9751864022099584
Imishli district,district,2021,49.98,,40782.0,38913.0,18616.7,50.6,50378.0,41.6,,77.9,,49.98,41.6,0.33802692928572936,0.33801271306744285,0.29026983520109045,0.32275843132846777,0,0,0.9999579435333257
Ismayilli district,district,2021,45.98,67.91,20136.0,19897.0,741.0,50.6,36558.0,43.2,12.6,59.87,78.82,45.98,43.2,0.48520326443259404,0.47971318520278167,0.36497029510793344,0.3797549373673045,0,0,0.9886849911526614
Jabrayil district,district,2021,,,4321.0,4313.0,1371.0,,8709.0,,,,,,,0.6035944226258586,0.5272003128621905,0.541854236084328,0.4993725877829156,0,0,0.8734346990296472
Jalilabad district,district,2021,,,48101.0,47491.0,159.0,,73900.0,,,,,,,1.0000000000000004,0.6934998265800747,0.0,0.3099750055939512,12,0,0.6934998265800744
Julfa district,district,2021,,,8126.0,7839.0,1768.0,,10205.0,,,,,,,0.38041316211979254,0.33989061376987734,0.34474980845402853,0.3185620716481591,0,0,0.8934775334162739
Kalbajar district,district,2021,,,16724.0,16401.0,116.2,,18522.0,,,,,,,0.4816418514030006,0.44279994536115214,0.2745504695265205,0.2597294565162924,0,0,0.9193552098333985
Kangarli district,district,2021,,,6423.0,6423.0,2898.0,,9325.0,,,,,,,0.429590707044103,0.3790510861072868,0.39092479856714,0.3616202341823631,0,0,0.8823540171886733
Khachmaz district,district,2021,82.31,,26065.0,25271.0,4443.6,24.4,74902.0,21.7,,64.07,,82.31,21.7,0.9999999999999999,0.7738518289417912,0.3553784989701414,0.7190911112749399,0,0,0.7738518289417913
